question,answer
What figure did Capgemini show for Total Assets 2023?,"€24,700 million"
Give me the number for Total Assets 2023.,"€24,700 million"
What figure did Capgemini show for Cash 2023?,"€3,517 million"
What was Capgemini's Basic EPS 2023?,€9.70
Can you tell me the Revenue 2023 for Capgemini?,"€22,522 million"
How much was Capgemini's Profit 2023?,"€1,668 million"
Give me the number for Profit 2023.,"€1,668 million"
Give me the number for Equity 2024.,"€11,797 million"
What amount was recorded as Cash 2024?,"€2,787 million"
What amount was recorded as Revenue 2024?,"€22,096 million"
Give me the number for Basic EPS 2024.,€9.82
State the Cash 2024 of Capgemini.,"€2,787 million"
How much was Capgemini's Basic EPS 2023?,€9.70
State the Total Assets 2024 of Capgemini.,"€25,660 million"
What was Capgemini's Basic EPS 2024?,€9.82
How much was Capgemini's Total Assets 2024?,"€25,660 million"
What amount was recorded as Revenue 2024?,"€22,096 million"
How much was Capgemini's Operating Margin 2024?,"€2,934 million (13.3%)"
Can you tell me the Profit 2023 for Capgemini?,"€1,668 million"
"In the financial year, what was the Cash 2023?","€3,517 million"
Give me the number for Equity 2023.,"€10,473 million"
Give me the number for Revenue 2023.,"€22,522 million"
What figure did Capgemini show for Basic EPS 2023?,€9.70
What was Capgemini's Dividends Paid 2023?,€559 million
Give me the number for Equity 2024.,"€11,797 million"
How much was Capgemini's Operating Margin 2023?,"€2,991 million (13.3%)"
"In the financial year, what was the Operating Margin 2023?","€2,991 million (13.3%)"
How much was Capgemini's Revenue 2024?,"€22,096 million"
What was Capgemini's Basic EPS 2023?,€9.70
Give me the number for Dividends Paid 2024.,€584 million
Give me the number for Dividends Paid 2024.,€584 million
Can you tell me the Profit 2023 for Capgemini?,"€1,668 million"
What figure did Capgemini show for Operating Margin 2024?,"€2,934 million (13.3%)"
"In the financial year, what was the Total Assets 2024?","€25,660 million"
Give me the number for Revenue 2023.,"€22,522 million"
What figure did Capgemini show for Profit 2024?,"€1,677 million"
State the Cash 2023 of Capgemini.,"€3,517 million"
Can you tell me the Operating Margin 2023 for Capgemini?,"€2,991 million (13.3%)"
What was Capgemini's Basic EPS 2024?,€9.82
"In the financial year, what was the Total Assets 2024?","€25,660 million"
What figure did Capgemini show for Profit 2024?,"€1,677 million"
Provide the Dividends Paid 2023 reported by Capgemini.,€559 million
Give me the number for Equity 2024.,"€11,797 million"
State the Cash 2024 of Capgemini.,"€2,787 million"
How did Capgemini report its Revenue 2024?,"€22,096 million"
What amount was recorded as Equity 2024?,"€11,797 million"
"In the financial year, what was the Operating Margin 2023?","€2,991 million (13.3%)"
Can you tell me the Cash 2024 for Capgemini?,"€2,787 million"
What figure did Capgemini show for Revenue 2023?,"€22,522 million"
How did Capgemini report its Dividends Paid 2024?,€584 million
